"variable","h","date","forecast"
"GDP_per_w",1,2025-08-01,0.00124008402612536
"GDP_per_w",2,2025-09-01,0.00142567244803673
"GDP_per_w",3,2025-10-01,0.00155985627589721
"GDP_per_w",4,2025-11-01,-0.000285653910141355
"GDP_per_w",5,2025-12-01,0.000715014530382263
"GDP_per_w",6,2026-01-01,0.00148747073243551
"GDP_per_w",7,2026-02-01,0.00211447386463379
"GDP_per_w",8,2026-03-01,0.00141064870515233
"GDP_per_w",9,2026-04-01,0.000157047507682346
"GDP_per_w",10,2026-05-01,0.00019019828031731
"GDP_per_w",11,2026-06-01,0.000696442011414671
"GDP_per_w",12,2026-07-01,0.00158159091554165
"CPI_ALL_CAN",1,2025-08-01,0.00124336633538977
"CPI_ALL_CAN",2,2025-09-01,0.00146801582650403
"CPI_ALL_CAN",3,2025-10-01,0.0020452441208733
"CPI_ALL_CAN",4,2025-11-01,0.00217643157041546
"CPI_ALL_CAN",5,2025-12-01,0.00265802719889736
"CPI_ALL_CAN",6,2026-01-01,0.00203190995490599
"CPI_ALL_CAN",7,2026-02-01,0.000768930862784704
"CPI_ALL_CAN",8,2026-03-01,-0.000578089302473999
"CPI_ALL_CAN",9,2026-04-01,0.00158861482491587
"CPI_ALL_CAN",10,2026-05-01,0.00208945040523781
"CPI_ALL_CAN",11,2026-06-01,0.00283960571467642
"CPI_ALL_CAN",12,2026-07-01,0.00140908426329555
"NHOUSE_P_CAN",1,2025-08-01,-0.00073988095288402
"NHOUSE_P_CAN",2,2025-09-01,-0.00128904793792047
"NHOUSE_P_CAN",3,2025-10-01,-0.000893333025946385
"NHOUSE_P_CAN",4,2025-11-01,-0.000307337036670803
"NHOUSE_P_CAN",5,2025-12-01,0.00023802723306007
"NHOUSE_P_CAN",6,2026-01-01,-0.000258159199631024
"NHOUSE_P_CAN",7,2026-02-01,0.000820360743258654
"NHOUSE_P_CAN",8,2026-03-01,0.000419080934765619
"NHOUSE_P_CAN",9,2026-04-01,0.00150396935633816
"NHOUSE_P_CAN",10,2026-05-01,0.000894437449523252
"NHOUSE_P_CAN",11,2026-06-01,0.00159995064208508
"NHOUSE_P_CAN",12,2026-07-01,0.000915502193298801
