"variable","h","date","forecast"
"GDP_per_w",1,2025-08-01,0.00253275690367334
"GDP_per_w",2,2025-09-01,0.00233184057993
"GDP_per_w",3,2025-10-01,0.00267006909099
"GDP_per_w",4,2025-11-01,0.00287701961439333
"GDP_per_w",5,2025-12-01,0.00300050907455
"GDP_per_w",6,2026-01-01,0.00270690383817667
"GDP_per_w",7,2026-02-01,0.00262418416836
"GDP_per_w",8,2026-03-01,0.00259493993157667
"GDP_per_w",9,2026-04-01,0.00275673892495
"GDP_per_w",10,2026-05-01,0.00265214699016667
"GDP_per_w",11,2026-06-01,0.0027863117573
"GDP_per_w",12,2026-07-01,0.00277783394794334
"CPI_ALL_CAN",1,2025-08-01,0.00230398150436667
"CPI_ALL_CAN",2,2025-09-01,0.00256509247886667
"CPI_ALL_CAN",3,2025-10-01,0.00237753906143333
"CPI_ALL_CAN",4,2025-11-01,0.00242310487396667
"CPI_ALL_CAN",5,2025-12-01,0.00231647248583333
"CPI_ALL_CAN",6,2026-01-01,0.00229814536333333
"CPI_ALL_CAN",7,2026-02-01,0.00241900545526667
"CPI_ALL_CAN",8,2026-03-01,0.0025446104053
"CPI_ALL_CAN",9,2026-04-01,0.0025050064181
"CPI_ALL_CAN",10,2026-05-01,0.00282681173303333
"CPI_ALL_CAN",11,2026-06-01,0.0030786766689
"CPI_ALL_CAN",12,2026-07-01,0.0025452020449
"NHOUSE_P_CAN",1,2025-08-01,-0.000837443887766669
"NHOUSE_P_CAN",2,2025-09-01,-0.000760181265500002
"NHOUSE_P_CAN",3,2025-10-01,-0.000478630487299999
"NHOUSE_P_CAN",4,2025-11-01,-0.000586635968600001
"NHOUSE_P_CAN",5,2025-12-01,-0.000414914536166666
"NHOUSE_P_CAN",6,2026-01-01,-0.0002528843158
"NHOUSE_P_CAN",7,2026-02-01,-0.0002948342547
"NHOUSE_P_CAN",8,2026-03-01,-0.0002482059088
"NHOUSE_P_CAN",9,2026-04-01,-0.000203938133233333
"NHOUSE_P_CAN",10,2026-05-01,6.37739496666669e-06
"NHOUSE_P_CAN",11,2026-06-01,5.53654965000003e-05
"NHOUSE_P_CAN",12,2026-07-01,-3.77758781333334e-05
