"variable","h","date","forecast"
"GDP_per_w",1,2025-08-01,0.000807872401492066
"GDP_per_w",2,2025-09-01,0.000554295137382163
"GDP_per_w",3,2025-10-01,0.000666908547241189
"GDP_per_w",4,2025-11-01,0.000786351078215272
"GDP_per_w",5,2025-12-01,0.000721002042096862
"GDP_per_w",6,2026-01-01,0.000715845182999458
"GDP_per_w",7,2026-02-01,0.000705498615435178
"GDP_per_w",8,2026-03-01,0.000699671571039072
"GDP_per_w",9,2026-04-01,0.000695128401421011
"GDP_per_w",10,2026-05-01,0.000691978287700443
"GDP_per_w",11,2026-06-01,0.000689677404567324
"GDP_per_w",12,2026-07-01,0.000688038659532887
"CPI_ALL_CAN",1,2025-08-01,0.00219482677711706
"CPI_ALL_CAN",2,2025-09-01,0.00243744606634745
"CPI_ALL_CAN",3,2025-10-01,0.00224435979164372
"CPI_ALL_CAN",4,2025-11-01,0.00227146320985097
"CPI_ALL_CAN",5,2025-12-01,0.00229279211507603
"CPI_ALL_CAN",6,2026-01-01,0.00230983142302969
"CPI_ALL_CAN",7,2026-02-01,0.0023185037665302
"CPI_ALL_CAN",8,2026-03-01,0.0023260099428862
"CPI_ALL_CAN",9,2026-04-01,0.00233167391999051
"CPI_ALL_CAN",10,2026-05-01,0.00233601760719654
"CPI_ALL_CAN",11,2026-06-01,0.00233920107058897
"CPI_ALL_CAN",12,2026-07-01,0.00234151809936969
"NHOUSE_P_CAN",1,2025-08-01,0.000173943819313469
"NHOUSE_P_CAN",2,2025-09-01,0.000814876412839795
"NHOUSE_P_CAN",3,2025-10-01,0.00124044682392018
"NHOUSE_P_CAN",4,2025-11-01,0.00150672968888344
"NHOUSE_P_CAN",5,2025-12-01,0.0017050986812759
"NHOUSE_P_CAN",6,2026-01-01,0.00184381165035767
"NHOUSE_P_CAN",7,2026-02-01,0.00194306161189384
"NHOUSE_P_CAN",8,2026-03-01,0.0020129655438863
"NHOUSE_P_CAN",9,2026-04-01,0.00206268000183632
"NHOUSE_P_CAN",10,2026-05-01,0.00209795696072843
"NHOUSE_P_CAN",11,2026-06-01,0.00212309820681448
"NHOUSE_P_CAN",12,2026-07-01,0.00214100808058403
