"Variable","Block","Short_Description"
"GDP_per_w","Target","GDP per worker, monthly growth"
"CPI_ALL_CAN","Target","Headline CPI inflation, monthly"
"NHOUSE_P_CAN","Target","National house price index, monthly"
"IP_new","Real activity","Industrial production index, monthly"
"BSI_new","Real activity","Business sentiment / survey index"
"UNEMP_CAN","Labour","Unemployment rate, Canada"
"EMP_CONS_CAN","Labour","Construction employment, Canada"
"hstart_CAN_new","Housing","Housing starts, Canada, monthly"
"CRED_HOUS","Credit","Household / housing credit stock"
"CRED_HOUS_MORT","Credit","Mortgage credit for housing"
"BANK_RATE_L","Interest","BoC policy rate (level)"
"TBILL_3M","Interest","3-month T-bill rate"
"Exp_BP_new","External","Exports of goods (BOP), monthly"
"Imp_BP_new","External","Imports of goods (BOP), monthly"
"IPPI_METAL_CAN","Prices","Metal producer price index, Canada"
"OILP_new","Commodities","Oil price index"
"WTISPLC","Commodities","WTI spot crude oil price (level)"
